pipe_idx,pipe_name,from_junc_name,to_junc_name,length_m,v_m_per_s,mdot_kg_per_s,t_from_k,t_to_k,is_zero_flow
18,pipe_S_456727.9_5734211.4_to_456708.2_5734185.6,S_456727.9_5734211.4,S_456708.2_5734185.6,32.42569968420735,0.0,0.0,,,True
19,pipe_R_456708.2_5734185.6_to_456727.9_5734211.4,R_456708.2_5734185.6,R_456727.9_5734211.4,32.42569968420735,0.0,0.0,,,True
128,pipe_S_456093.4_5734110.1_to_456072.0_5734103.5,S_456093.4_5734110.1,S_456072.0_5734103.5,22.40714618164991,0.0,0.0,,,True
129,pipe_R_456072.0_5734103.5_to_456093.4_5734110.1,R_456072.0_5734103.5,R_456093.4_5734110.1,22.40714618164991,0.0,0.0,,,True
184,pipe_S_456808.9_5734262.0_to_456815.8_5734262.5,S_456808.9_5734262.0,S_456815.8_5734262.5,6.926651427643462,0.0,0.0,,,True
185,pipe_R_456815.8_5734262.5_to_456808.9_5734262.0,R_456815.8_5734262.5,R_456808.9_5734262.0,6.926651427643462,0.0,0.0,,,True
188,pipe_S_456240.0_5734045.6_to_456239.3_5734045.3,S_456240.0_5734045.6,S_456239.3_5734045.3,0.7810889833983171,0.0,0.0,,,True
189,pipe_R_456239.3_5734045.3_to_456240.0_5734045.6,R_456239.3_5734045.3,R_456240.0_5734045.6,0.7810889833983171,0.0,0.0,,,True
240,pipe_S_456378.7_5734287.9_to_456364.0_5734285.0,S_456378.7_5734287.9,S_456364.0_5734285.0,14.94797645169809,0.0,0.0,,,True
241,pipe_R_456364.0_5734285.0_to_456378.7_5734287.9,R_456364.0_5734285.0,R_456378.7_5734287.9,14.94797645169809,0.0,0.0,,,True
